"","YEAR","METRO","HHINCOME","SFRELATE","SPLOC","SPRULE","NCHILD","NCHLT5","RELATE","RELATED","SEX","AGE","MARST","EDUC","EDUCD","EMPSTAT","EMPSTATD","WKSWORK2","UHRSWORK","INCTOT","INCWAGE","INCSS","INCWELFR","PRICEINDEX"
"1",2017,3,45866.0420670659,0,4,21,2,1,1,101,2,27,3,6,63,1,10,72,50,22933.021033533,22933.021033533,0,0,1.30815734900926
"2",2014,3,3529.92979249028,0,0,0,1,0,1,101,2,49,3,8,81,1,10,20,20,3529.92979249028,3529.92979249028,0,0,1.21815453926251
"3",2006,3,17486.2851191886,0,0,0,3,1,1,101,2,38,2,6,62,1,10,72,45,17486.2851191886,17486.2851191886,0,0,1.0293781599299
"4",2018,0,51411.6652201112,0,0,0,0,0,3,301,2,51,6,10,101,1,10,72,40,38745.0230644316,38745.0230644316,0,0,1.34210786024119
"5",2015,3,57798.0613877837,0,1,11,2,0,2,201,2,41,1,11,114,1,10,72,45,25688.0272834594,25688.0272834594,0,0,1.24571652182123
"6",2005,3,85600,0,1,11,0,0,2,201,2,51,1,7,71,1,10,72,32,31400,31400,0,0,1
"7",2007,2,103639.689598129,0,1,11,1,1,2,201,2,45,1,11,114,1,10,72,40,47108.9498173313,47108.9498173313,0,0,1.06136944665247
"8",2005,1,64200,0,2,11,2,1,1,101,2,37,1,6,62,1,10,72,44,29200,28000,0,0,1
"9",2019,1,147491.651394021,0,2,11,0,0,1,101,2,37,1,11,114,1,10,72,40,33685.4704804616,30425.586240417,0,0,1.38041711565142
"10",2013,3,47832.5252213356,0,0,0,0,0,1,101,2,55,5,6,63,1,10,72,40,47832.5252213356,47832.5252213356,0,0,1.19165776291851
"11",2015,4,49048.0770943553,0,0,0,0,0,11,1115,2,32,6,10,101,1,10,72,40,24162.800663504,24162.800663504,0,0,1.24571652182123
"12",2010,4,49274.5400309869,0,1,11,2,0,2,201,2,31,1,6,63,1,10,72,40,19870.2033036348,19870.2033036348,0,0,1.12228343410662
"13",2016,3,64217.9583840915,0,1,11,2,0,2,201,2,47,1,11,114,1,10,72,24,9397.75000742803,9397.75000742803,0,0,1.27690138496078
"14",2014,3,9030.05295753326,0,2,11,0,0,1,101,2,48,1,6,64,1,10,33,20,2462.74171569089,0,0,0,1.21815453926251
